name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Save Life,unsupported,Hard,Instant,{W},1.0,uncommon,unh,2004-11-19,,"Choose one —
• Target player gains 2½ life.
• Prevent the next 2½ damage that would be dealt to target creature this turn.
Gotcha — If an opponent says ""save"" or ""life,"" you may say ""Gotcha!"" When you do, return Save Life from your graveyard to your hand.",in unsupported.txt
Saw in Half,missing,Hard,Instant,{2}{B},3.0,rare,unf,2022-10-07,,"Destroy target creature. If that creature dies this way, its controller creates two tokens that are copies of that creature, except their power is half that creature's power and their toughness is half that creature's toughness. Round up each time.",oracle:copies of
Scars of the Veteran,unsupported,Hard,Instant,{4}{W},5.0,uncommon,all,1996-06-10,,"You may exile a white card from your hand rather than pay this spell's mana cost.
Prevent the next 7 damage that would be dealt to any target this turn. If it's a creature, put a +0/+1 counter on it for each 1 damage prevented this way at the beginning of the next end step.",in unsupported.txt
Scattering Stroke,unsupported,Hard,Instant,{2}{U}{U},4.0,uncommon,lrw,2007-10-12,Clash,"Counter target spell. Clash with an opponent. If you win, at the beginning of your next main phase, you may add an amount of {C} equal to that spell's mana value. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Sex Appeal,unsupported,Hard,Instant,{W},1.0,common,ugl,1998-08-11,,"Prevent the next 3 damage that would be dealt this turn to any number of targets, divided as you choose. If there are more people in the room of a different gender than you are as you cast this spell, prevent the next 6 damage this way instead.",in unsupported.txt
Shadow of Doubt,unsupported,Hard,Instant,{U/B}{U/B},2.0,rare,rav,2005-10-07,,"({U/B} can be paid with either {U} or {B}.)
Players can't search libraries this turn.
Draw a card.",in unsupported.txt
Shadowbane,unsupported,Hard,Instant,{1}{W},2.0,uncommon,mir,1996-10-08,,"The next time a source of your choice would deal damage to you and/or creatures you control this turn, prevent that damage. If damage from a black source is prevented this way, you gain that much life.",in unsupported.txt
Shaman's Trance,unsupported,Hard,Instant,{2}{R},3.0,rare,jud,2002-05-27,,Other players can't play lands or cast spells from their graveyards this turn. You may play lands and cast spells from other players' graveyards this turn as though those cards were in your graveyard.,in unsupported.txt
Side to Side,unsupported,Hard,Instant,{2}{G},3.0,uncommon,unh,2004-11-19,,"You and target opponent arm-wrestle. If you win, create a 3/3 green Ape creature token.",in unsupported.txt
Sideswipe,unsupported,Hard,Instant,{1}{R},2.0,uncommon,chk,2004-10-01,,You may change any targets of target Arcane spell.,in unsupported.txt
Signal the Clans,unsupported,Hard,Instant,{R}{G},2.0,rare,gtc,2013-02-01,,"Search your library for three creature cards and reveal them. If you reveal three cards with different names, choose one of them at random and put that card into your hand. Shuffle the rest into your library.",in unsupported.txt
Silhouette,unsupported,Hard,Instant,{1}{U},2.0,uncommon,leg,1994-06-01,,"Choose target creature. If a spell or ability that targets that creature would cause a source to deal damage to that creature this turn, prevent that damage.",in unsupported.txt
Siren's Call,unsupported,Hard,Instant,{U},1.0,uncommon,lea,1993-08-05,,"Cast this spell only during an opponent's turn, before attackers are declared.
Creatures the active player controls attack this turn if able.
At the beginning of the next end step, destroy all non-Wall creatures that player controls that didn't attack this turn. Ignore this effect for each creature the player didn't control continuously since the beginning of the turn.",in unsupported.txt
Sleight of Mind,unsupported,Hard,Instant,{U},1.0,rare,lea,1993-08-05,,"Change the text of target spell or permanent by replacing all instances of one color word with another. (For example, you may change ""target black spell"" to ""target blue spell."" This effect lasts indefinitely.)",in unsupported.txt
Spectral Shift,unsupported,Hard,Instant,{1}{U},2.0,rare,5dn,2004-06-04,Entwine,"Choose one —
• Change the text of target spell or permanent by replacing all instances of one basic land type with another. (This effect lasts indefinitely.)
• Change the text of target spell or permanent by replacing all instances of one color word with another. (This effect lasts indefinitely.)
Entwine {2} (Choose both if you pay the entwine cost.)",in unsupported.txt
Spell Counter,unsupported,Hard,Instant,{2}{U}{U},4.0,uncommon,unh,2004-11-19,,"Counter target spell.
Gotcha — If an opponent says ""spell"" or ""counter,"" you may say ""Gotcha!"" When you do, return Spell Counter from your graveyard to your hand.",in unsupported.txt
Spell Suck,unsupported,Hard,Instant,{2}{U}{U},4.0,common,ust,2017-12-08,Assemble,"Counter target spell, then assemble a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",in unsupported.txt
Spellchain Scatter,missing,Hard,Instant,{R},1.0,uncommon,ydmu,2022-10-05,"Conjure, Kicker","Kicker {U}
When you next cast an instant or sorcery spell this turn, conjure a duplicate of that spell into your hand. If this spell wasn't kicked, discard the duplicate at the beginning of your next end step.",oracle:kicker
Split Decision,unsupported,Hard,Instant,{1}{U},2.0,uncommon,cns,2014-06-06,Will of the council,"Will of the council — Choose target instant or sorcery spell. Starting with you, each player votes for denial or duplication. If denial gets more votes, counter the spell. If duplication gets more votes or the vote is tied, copy the spell. You may choose new targets for the copy.",in unsupported.txt
Spoils of the Vault,unsupported,Hard,Instant,{B},1.0,rare,mrd,2003-10-02,,"Choose a card name. Reveal cards from the top of your library until you reveal a card with that name, then put that card into your hand. Exile all other cards revealed this way, and you lose 1 life for each of the exiled cards.",in unsupported.txt
Spring Cleaning,unsupported,Hard,Instant,{1}{G},2.0,common,lrw,2007-10-12,Clash,"Destroy target enchantment. Clash with an opponent. If you win, destroy all enchantments your opponents control. (Each clashing player reveals the top card of their library, then puts that card on their choice of the top or bottom. A player wins if their card had a greater mana value.)",in unsupported.txt
Spy Network,unsupported,Hard,Instant,{U},1.0,common,ons,2002-10-07,,"Look at target player's hand, the top card of that player's library, and any face-down creatures they control. Look at the top four cards of your library, then put them back in any order.",in unsupported.txt
Squelch,unsupported,Hard,Instant,{1}{U},2.0,uncommon,chk,2004-10-01,,"Counter target activated ability. (Mana abilities can't be targeted.)
Draw a card.",in unsupported.txt
Steam Augury,unsupported,Hard,Instant,{2}{U}{R},4.0,rare,ths,2013-09-27,,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.,in unsupported.txt
Steamfloggery,unsupported,Hard,Instant,{4}{R}{R},6.0,uncommon,ust,2017-12-08,Assemble,"Roll a six-sided die. Assemble a number of Contraptions equal to the result. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",in unsupported.txt
Stifle,unsupported,Hard,Instant,{U},1.0,rare,scg,2003-05-26,,Counter target activated or triggered ability. (Mana abilities can't be targeted.),in unsupported.txt
Stomped by the Foot,missing,Hard,Instant,{1}{B},2.0,common,tmt,2026-03-06,Kicker,"Kicker—Sacrifice an artifact or creature. (You may sacrifice an artifact or creature in addition to any other costs as you cast this spell.)
Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -5/-5 until end of turn instead.",oracle:kicker
Stop That,unsupported,Hard,Instant,{B},1.0,common,unh,2004-11-19,,"Target player discards a card.
Gotcha — If an opponent audibly flicks the cards in their hand, you may say ""Gotcha!"" When you do, return this card from your graveyard to your hand.",in unsupported.txt
String of Disappearances,unsupported,Hard,Instant,{U},1.0,common,mh1,2019-06-14,,"Return target creature to its owner's hand. Then that creature's controller may pay {U}{U}. If the player does, they may copy this spell and may choose a new target for that copy.",in unsupported.txt
Strip Bare,unsupported,Hard,Instant,{W},1.0,common,shm,2008-05-02,,Destroy all Auras and Equipment attached to target creature.,in unsupported.txt
Stunning Reversal,unsupported,Hard,Instant,{3}{B},4.0,mythic,bbd,2018-06-08,,"The next time you would lose the game this turn, instead draw seven cards and your life total becomes 1.
Exile Stunning Reversal.",in unsupported.txt
Success!,unsupported,Hard,Instant,{W},1.0,common,ust,2017-12-08,,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.",in unsupported.txt
Sudden Substitution,unsupported,Hard,Instant,{2}{U}{U},4.0,rare,c19,2019-08-23,Split second,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Exchange control of target noncreature spell and target creature. Then the spell's controller may choose new targets for it.",in unsupported.txt
Suffocation,unsupported,Hard,Instant,{1}{U},2.0,uncommon,all,1996-06-10,,"Cast this spell only if you were dealt damage this turn by a red instant or sorcery spell.
Suffocation deals 4 damage to the controller of the last red instant or sorcery spell that dealt damage to you this turn.
Draw a card at the beginning of the next turn's upkeep.",in unsupported.txt
Supersize,unsupported,Hard,Instant,{1}{G},2.0,common,unh,2004-11-19,,Target creature gets +3½/+3½ until end of turn.,in unsupported.txt
Tainted Pact,unsupported,Hard,Instant,{1}{B},2.0,rare,ody,2001-10-01,,"Exile the top card of your library. You may put that card into your hand unless it has the same name as another card exiled this way. Repeat this process until you put a card into your hand or you exile two cards with the same name, whichever comes first.",in unsupported.txt
